,Traffic Report ID,Published Date,Issue Reported,Location,Latitude,Longitude,Address,Status,Status Date-Time,Published Date as Integer
39,00AF91033AEFE00A141CF9CFF3BFE5694379B03D_1517264219000,01/30/2018 04:16:00 AM +0000,TRFC HAZD/ DEBRIS,"(30.309639,-97.888208)",30.309639,-97.888208,10058-10248 FM 2244 RD,ARCHIVED,01/30/2018 10:25:00 AM +0000,20180130
40,00AF91033AEFE00A141CF9CFF3BFE5694379B03D_1517614533000,02/03/2018 05:35:00 AM +0000,COLLISION WITH INJURY,"(30.124162,-97.740876)",30.124162,-97.740876,7700 Coulver Rd,ARCHIVED,02/03/2018 11:45:00 AM +0000,20180203
41,00AF91033AEFE00A141CF9CFF3BFE5694379B03D_1518090399000,02/08/2018 05:46:00 PM +0000,Traffic Impediment,"(30.325943,-97.726336)",30.325943,-97.726336,W Koenig Ln & N Lamar Blvd,ARCHIVED,02/08/2018 11:55:00 PM +0000,20180208
42,00AF91033AEFE00A141CF9CFF3BFE5694379B03D_1518609955000,02/14/2018 06:05:00 PM +0000,Traffic Impediment,"(30.265602,-97.745157)",30.265602,-97.745157,W 3rd St & Colorado St,ARCHIVED,02/15/2018 12:35:00 AM +0000,20180214
43,00D77B942E978BCC69980155176DDAD9534B4118_1518302252000,02/11/2018 04:37:00 AM +0000,Traffic Hazard,"(30.305140,-97.758017)",30.30514,-97.758017,2900-3217 N Mopac Expy Nb,ARCHIVED,02/11/2018 11:05:00 AM +0000,20180211
44,00DC35710D10349FA58F9D679882587A0D70C16A_1518253161000,02/10/2018 02:59:00 PM +0000,Traffic Impediment,"(30.213998,-97.830319)",30.213998,-97.830319,6900 Brodie Ln,ARCHIVED,02/10/2018 09:10:00 PM +0000,20180210
45,0311E1791C1FE92ECD3215FA0472BCE6BF2B252D_1518799965000,02/16/2018 10:52:00 PM +0000,Traffic Hazard,"(30.229062,-97.786607)",30.229062,-97.786607,1800 W Ben White Blvd Eb,ARCHIVED,02/17/2018 05:20:00 AM +0000,20180216
46,04085CEF4A2F22B0D7DE2D6919476571400985C3_1518778198000,02/16/2018 04:49:00 PM +0000,COLLISION WITH INJURY,"(30.413719,-97.652788)",30.413719,-97.652788,508 E HOWARD LN,ARCHIVED,02/16/2018 11:05:00 PM +0000,20180216
47,042338D46C2028808F298DEC735DC7ADF0C162F6_1518795979000,02/16/2018 09:46:00 PM +0000,Traffic Hazard,"(30.459308,-97.793068)",30.459308,-97.793068,13609-13749 N Us 183 Hwy Nb,ARCHIVED,02/17/2018 04:00:00 AM +0000,20180216
48,00DC35710D10349FA58F9D679882587A0D70C16A_1518032863000,02/08/2018 01:47:00 AM +0000,COLLISION,"(30.115334,-97.695139)",30.115334,-97.695139,S Us 183 Hwy & S Fm 973 Rd,ARCHIVED,02/08/2018 07:55:00 AM +0000,20180208
49,00DC35710D10349FA58F9D679882587A0D70C16A_1518515472000,02/13/2018 03:51:00 PM +0000,Traffic Hazard,"(30.340555,-97.767398)",30.340555,-97.767398,3921-3932 Fm 2222 Rd,ARCHIVED,02/13/2018 10:40:00 PM +0000,20180213
50,00E263FF6806064C016A643C6587B0D607A6A42D_1517582853000,02/02/2018 08:47:00 PM +0000,Traffic Impediment,"(30.247448,-97.755824)",30.247448,-97.755824,S 1st St & W Annie St,ARCHIVED,02/03/2018 03:00:00 AM +0000,20180202
51,00E291CBC8578FFC4E7C365F0FF2594435A8981D_1518394669000,02/12/2018 06:17:00 AM +0000,Traffic Hazard,"(30.198688,-97.764488)",30.198688,-97.764488,E Stassney Ln & S Ih 35 Svrd Sb,ARCHIVED,02/12/2018 12:30:00 PM +0000,20180212
52,00F36866326DA3B8DDE0D960226DCD6AFB5AF127_1518022650000,02/07/2018 10:57:00 PM +0000,COLLISION,"(30.456303,-97.664417)",30.456303,-97.664417,1800-BLK GRAND AVENUE PKWY,ARCHIVED,02/08/2018 05:15:00 AM +0000,20180207
53,00F36866326DA3B8DDE0D960226DCD6AFB5AF127_1518246331000,02/10/2018 01:05:00 PM +0000,Crash Urgent,"(30.218914,-97.691250)",30.218914,-97.69125,E Ben White Blvd Svrd Wb & E Riverside Dr,ARCHIVED,02/10/2018 07:40:00 PM +0000,20180210
54,00FD4B4549A1094AAE926EF62E9DBD3CDCC2E456_1516899081000,01/25/2018 10:51:00 PM +0000,Crash Urgent,"(30.195258,-97.623069)",30.195258,-97.623069,3139-3821 S Sh 130 Svrd Nb,ARCHIVED,01/26/2018 05:30:00 AM +0000,20180125
55,0103B8C397F0C92E47D9D803B50740B2C6B015C3_1518262736000,02/10/2018 05:38:00 PM +0000,Traffic Hazard,"(30.377135,-97.676122)",30.377135,-97.676122,10900-11500 N IH 35 SB,ARCHIVED,02/11/2018 12:45:00 AM +0000,20180210
56,0104CF3B45056589309EFFD4D0889E430018B490_1516139449000,01/17/2018 03:50:00 AM +0000,Stalled Vehicle,"(30.231510,-97.791793)",30.23151,-97.791793,2200 W Ben White Blvd Eb,ARCHIVED,01/17/2018 10:05:00 AM +0000,20180117
57,0104CF3B45056589309EFFD4D0889E430018B490_1517418548000,01/31/2018 11:09:00 PM +0000,Crash Service,"(30.390331,-97.742875)",30.390331,-97.742875,9700 N Capital Of Texas Hwy Sb,ARCHIVED,02/01/2018 06:15:00 AM +0000,20180131
58,01E3A3BB9CD2511B27D53D2F775104E07AC4F107_1518349242000,02/11/2018 05:40:00 PM +0000,Stalled Vehicle,"(30.173871,-97.816999)",30.173871,-97.816999,Bilbrook Pl & W Slaughter Ln,ARCHIVED,02/12/2018 12:05:00 AM +0000,20180211
59,01E3A3BB9CD2511B27D53D2F775104E07AC4F107_1518520899000,02/13/2018 05:21:00 PM +0000,Traffic Hazard,"(30.301111,-97.715833)",30.301111,-97.715833,4400 N Ih 35 Sb,ARCHIVED,02/13/2018 11:55:00 PM +0000,20180213
60,0477D720ADF7C715B04850723531A5FB1BC5334B_1518706611000,02/15/2018 08:56:00 PM +0000,Crash Service,"(30.220267,-97.835819)",30.220267,-97.835819,6611 S Mopac Expy Svrd Nb,ARCHIVED,02/16/2018 04:35:00 AM +0000,20180215
61,04868A0C86E9F00EC4C33D8A9B9BAE3ACF8C01DB_1518736499000,02/16/2018 05:14:00 AM +0000,Crash Service,"(30.441269,-97.664850)",30.441269,-97.66485,1434 W Wells Branch Pkwy,ARCHIVED,02/16/2018 11:45:00 AM +0000,20180216
62,06072EB4F0454CBD924930E1FD2F06787E77D416_1518774936000,02/16/2018 03:55:00 PM +0000,Crash Urgent,"(30.202965,-97.639532)",30.202965,-97.639532,3200-3325 E SH 71 WB,ARCHIVED,02/16/2018 10:45:00 PM +0000,20180216
63,06610FA060E114F26AD7660390D7D9864E0095D8_1518797050000,02/16/2018 10:04:00 PM +0000,Traffic Hazard,"(30.225968,-97.745872)",30.225968,-97.745872,3000-3500 S IH 35 SB,ARCHIVED,02/17/2018 05:35:00 AM +0000,20180216
64,06A3BCF49EA79E579CA1A11A5FBD97385E551A74_1518782048000,02/16/2018 05:54:00 PM +0000,Crash Urgent,"(30.331974,-97.686716)",30.331974,-97.686716,7701 CAMERON RD,ARCHIVED,02/17/2018 12:35:00 AM +0000,20180216
65,06DE2A876205786DD972A5CD962AA1EC8F0EC7FE_1518778042000,02/16/2018 04:47:00 PM +0000,COLLISION WITH INJURY,"(30.453447,-97.666110)",30.453447,-97.66611,15700 N Ih 35 Nb,ARCHIVED,02/16/2018 11:45:00 PM +0000,20180216
66,06FEB73BDE5AA9B2A2601EE29F9B818B59114B9C_1509979029000,11/06/2017 08:37:00 PM +0000,Crash Service,"(30.259758,-97.749276)",30.259758,-97.749276,S 1st St & W Riverside Dr,ARCHIVED,11/06/2017 09:10:00 PM +0000,20171106
67,000B6E11CC7D4C971FBF68F3F1E28EDC93443FF3_1507860836000,10/13/2017 07:13:00 AM +0000,Traffic Impediment,"(30.275642,-97.767780)",30.275642,-97.76778,N Mopac Sb To Cesar Ch Eb Ramp & W Cesar Chavez St,ARCHIVED,,20171013
68,000B6E11CC7D4C971FBF68F3F1E28EDC93443FF3_1508293423000,10/18/2017 07:23:00 AM +0000,Crash Service,"(30.233752,-97.740365)",30.233752,-97.740365,2241 S Ih 35 Svrd Nb,ARCHIVED,,20171018
69,0020BF2046BD4C6F803CBF19940A1A4759C0EDE8,09/28/2017 12:36:00 PM +0000,TRFC HAZD/ DEBRIS,"(30.3376637,-97.5584922)",30.3376637,-97.5584922,S Lexington St & E Brenham St,ARCHIVED,,20170928
70,0020BF2046BD4C6F803CBF19940A1A4759C0EDE8_1508139005000,10/16/2017 12:30:00 PM +0000,TRFC HAZD/ DEBRIS,"(30.141991,-97.832953)",30.141991,-97.832953,12120 Manchaca Rd,ARCHIVED,,20171016
71,00817818EDF48CDBA2229E617EBA386481A8A7C3,09/30/2017 10:39:00 AM +0000,COLLISION,"(30.2569113,-97.6116119)",30.2569113,-97.6116119,11600-12225 FM 969 RD,ARCHIVED,,20170930
72,00817818EDF48CDBA2229E617EBA386481A8A7C3_1507953139000,10/14/2017 08:52:00 AM +0000,COLLISION,"(30.485034,-97.976409)",30.485034,-97.976409,21200-blk FM 1431 RD,ARCHIVED,,20171014
73,00AF91033AEFE00A141CF9CFF3BFE5694379B03D,10/09/2017 04:48:00 PM +0000,Traffic Impediment,"(30.3242546,-97.7542368)",30.3242546,-97.7542368,3000-3010 Perry Ln,ARCHIVED,,20171009
74,00B4A051351B585E1F29FFCE2B7FF5D29D629966,09/28/2017 01:59:00 AM +0000,Traffic Hazard,"(30.215463,-97.7349646)",30.215463,-97.7349646,4400-4708 E Ben White Blvd Wb,ARCHIVED,,20170928
75,00B7858A85FE7328455145A1552E17378E980FE7,10/07/2017 12:22:00 AM +0000,Crash Service,"(30.3631457,-97.6970285)",30.3631457,-97.6970285,W Rundberg Ln & N Lamar Blvd,ARCHIVED,,20171007
76,00D77B942E978BCC69980155176DDAD9534B4118,10/04/2017 01:10:00 AM +0000,Crash Service,"(30.2118617,-97.7117034)",30.2118617,-97.7117034,6317 E Ben White Blvd Svrd Eb,ARCHIVED,,20171004
77,00DC35710D10349FA58F9D679882587A0D70C16A,09/26/2017 11:12:00 PM +0000,COLLISION WITH INJURY,"(30.3943497,-97.8691306)",30.3943497,-97.8691306,N Fm 620 Rd & Comanche Trl,ARCHIVED,,20170926
78,00E263FF6806064C016A643C6587B0D607A6A42D,10/01/2017 08:38:00 PM +0000,Traffic Hazard,"(30.1532196,-97.791965)",30.1532196,-97.791965,10200 S Ih 35 Sb,ARCHIVED,,20171001
79,00F36866326DA3B8DDE0D960226DCD6AFB5AF127,09/30/2017 11:18:00 AM +0000,Crash Urgent,"(30.3252061,-97.6720748)",30.3252061,-97.6720748,E Us 290 Hwy Svrd Eb & Ed Bluestein Blvd Svrd Nb,ARCHIVED,,20170930
80,00F36866326DA3B8DDE0D960226DCD6AFB5AF127_1507878949000,10/13/2017 12:15:00 PM +0000,Traffic Impediment,"(30.174380,-97.798900)",30.17438,-97.7989,8600-8819 S 1ST ST,ARCHIVED,,20171013
81,00FD4B4549A1094AAE926EF62E9DBD3CDCC2E456,10/03/2017 08:31:00 PM +0000,Crash Urgent,"(30.4023614,-97.8548259)",30.4023614,-97.8548259,6900 N Fm 620 Rd,ARCHIVED,,20171003
82,00FD4B4549A1094AAE926EF62E9DBD3CDCC2E456_1507994045000,10/14/2017 08:14:00 PM +0000,Traffic Hazard,"(30.212378,-97.711810)",30.212378,-97.71181,5606-6222 E Ben White Blvd Wb,ARCHIVED,,20171014
83,0103B8C397F0C92E47D9D803B50740B2C6B015C3,10/01/2017 04:43:00 AM +0000,TRFC HAZD/ DEBRIS,"(30.4383948,-97.8827051)",30.4383948,-97.8827051,14230-14276 FM 2769 RD,ARCHIVED,,20171001
84,0103B8C397F0C92E47D9D803B50740B2C6B015C3_1507891313000,10/13/2017 03:41:00 PM +0000,Crash Service,"(30.377284,-97.658729)",30.377284,-97.658729,11800 Dessau Rd,ARCHIVED,,20171013
85,0103B8C397F0C92E47D9D803B50740B2C6B015C3_1508153704000,10/16/2017 04:35:00 PM +0000,Traffic Impediment,"(30.215557,-97.698939)",30.215557,-97.698939,7200 E Ben White Blvd Eb,ARCHIVED,,20171016
86,0104CF3B45056589309EFFD4D0889E430018B490,10/05/2017 10:14:00 PM +0000,Crash Urgent,"(30.4416986,-97.6689582)",30.4416986,-97.6689582,14834-14940 N IH 35 SVRD SB,ARCHIVED,,20171005
87,0104CF3B45056589309EFFD4D0889E430018B490_1507909029000,10/13/2017 08:37:00 PM +0000,Traffic Hazard,"(30.232315,-97.736888)",30.232315,-97.736888,2300 Parker Ln,ARCHIVED,,20171013
88,011C945F30CE2CBAFC452F39840F025693339C42,10/10/2017 09:06:00 PM +0000,Crash Service,"(30.3257808,-97.7015295)",30.3257808,-97.7015295,1016 Camino La Costa,ARCHIVED,,20171010
89,011C945F30CE2CBAFC452F39840F025693339C42_1507907663000,10/13/2017 08:14:00 PM +0000,Traffic Hazard,"(30.340460,-97.753546)",30.34046,-97.753546,5900-6500 N MOPAC EXPY NB,ARCHIVED,,20171013
90,01B201646FBCD5B4D5B54FEB9AB0F9250CE6072A_1507934968000,10/14/2017 03:49:00 AM +0000,Stalled Vehicle,"(30.286226,-97.631192)",30.286226,-97.631192,Hog Eye Rd & Decker Ln,ARCHIVED,,20171014
91,01B45189A34F284F41AB07AFBC3531D83C480D90,09/28/2017 03:06:00 PM +0000,Traffic Impediment,"(30.1986937,-97.7644953)",30.1986937,-97.7644953,S Ih 35 Svrd Sb & E Stassney Ln,ARCHIVED,,20170928
92,01E3A3BB9CD2511B27D53D2F775104E07AC4F107,09/29/2017 03:42:00 PM +0000,Traffic Hazard,"(30.2656971,-97.782255)",30.2656971,-97.782255,933 S Mopac Expy Nb,ARCHIVED,,20170929
93,01EE94B8B3AC84ACBD3A5B852ED4B18846E304CD,09/28/2017 12:53:00 PM +0000,Crash Urgent,"(30.3742279,-97.6784163)",30.3742279,-97.6784163,11000 N Ih 35 Nb,ARCHIVED,,20170928
94,01EE94B8B3AC84ACBD3A5B852ED4B18846E304CD_1507879462000,10/13/2017 12:24:00 PM +0000,Crash Service,"(30.323774,-97.727723)",30.323774,-97.727723,5502-5629 N Lamar Blvd,ARCHIVED,,20171013
95,0200320AE3BC247E747EF93E3259BC29DDF53392,09/29/2017 09:14:00 PM +0000,Crash Urgent,"(30.2301551,-97.7953175)",30.2301551,-97.7953175,Western Trails Blvd & Frontier Trl,ARCHIVED,,20170929
96,0200320AE3BC247E747EF93E3259BC29DDF53392_1508171309000,10/16/2017 09:28:00 PM +0000,Crash Service,"(30.372729,-97.726673)",30.372729,-97.726673,8832-8924 Burnet Rd,ARCHIVED,,20171016
97,02177BB470EC8D951EC376A1EDB9D76AC9B82BFE,09/29/2017 06:30:00 PM +0000,Traffic Hazard,"(30.3501159,-97.7969365)",30.3501159,-97.7969365,5200 N Capital Of Texas Hwy Sb,ARCHIVED,,20170929
98,02177BB470EC8D951EC376A1EDB9D76AC9B82BFE_1508160497000,10/16/2017 06:28:00 PM +0000,Traffic Impediment,"(30.242596,-97.717457)",30.242596,-97.717457,2205-2525 S Lakeshore Blvd,ARCHIVED,,20171016
99,022DD3EB01DE055B6AA3A09AD422629FB128BC26,10/05/2017 10:40:00 PM +0000,COLLISION,"(30.4456087,-97.8320874)",30.4456087,-97.8320874,10617-10911 N FM 620 RD,ARCHIVED,,20171005
100,022DD3EB01DE055B6AA3A09AD422629FB128BC26_1507964802000,10/14/2017 12:06:00 PM +0000,Traffic Impediment,"(30.372089,-97.715521)",30.372089,-97.715521,9315 Northgate Blvd,ARCHIVED,,20171014
101,022DD3EB01DE055B6AA3A09AD422629FB128BC26_1508057826000,10/15/2017 01:57:00 PM +0000,Traffic Hazard,"(30.334109,-97.755853)",30.334109,-97.755853,N Mopac Expy Sb & Northland To Mopac Sb Ramp,ARCHIVED,,20171015
102,024E4EF7F3C1A12DB0B9CD914318C226644C9537,09/29/2017 08:31:00 AM +0000,Crash Service,"(30.3757261,-97.6897954)",30.3757261,-97.6897954,10625 N LAMAR BLVD,ARCHIVED,,20170929
103,026163C85E903E67F039F05E9A80218311817CF1,09/28/2017 01:11:00 PM +0000,Stalled Vehicle,"(30.3101624,-97.7113124)",30.3101624,-97.7113124,E 51st St & N Ih 35 Svrd Sb,ARCHIVED,,20170928
104,026163C85E903E67F039F05E9A80218311817CF1_1508142722000,10/16/2017 01:32:00 PM +0000,Crash Service,"(30.366927,-97.682932)",30.366927,-97.682932,10206 N Ih 35 Svrd Sb,ARCHIVED,,20171016
105,026DB829052E2AC392765A7C1D324DC1E217EA01,10/04/2017 04:22:00 AM +0000,Crash Urgent,"(30.4879587,-97.7713383)",30.4879587,-97.7713383,Lakeline Blvd & W Parmer Ln,ARCHIVED,,20171004
106,0284938375FD54F17C4331B8EF9F686BFBDA02C3,09/28/2017 07:19:00 PM +0000,Crash Service,"(30.4132377,-97.6905898)",30.4132377,-97.6905898,W Parmer Ln & Metric Blvd,ARCHIVED,,20170928
107,0284938375FD54F17C4331B8EF9F686BFBDA02C3_1507989930000,10/14/2017 07:05:00 PM +0000,Crash Urgent,"(30.197108,-97.787848)",30.197108,-97.787848,W William Cannon Dr & S 1st St,ARCHIVED,,20171014
108,02CE1EA5906B8DA6A9BB82F1319CC83C99ED91E9,10/01/2017 03:26:00 PM +0000,Traffic Hazard,"(30.2844577,-97.7181848)",30.2844577,-97.7181848,Chestnut Ave & Manor Rd,ARCHIVED,,20171001
109,02CE1EA5906B8DA6A9BB82F1319CC83C99ED91E9_1508195587000,10/17/2017 04:13:00 AM +0000,COLLISN/ LVNG SCN,"(30.452743,-97.696083)",30.452743,-97.696083,14609-14853 N MOPAC TOLL TO N MOPAC NB,ARCHIVED,,20171017
110,02EF6A4D5E9B6440EE4513BAF40746CB8E872FE4,10/03/2017 09:14:00 PM +0000,Crash Urgent,"(30.2501242,-97.7396736)",30.2501242,-97.7396736,Alta Vista Ave & E Riverside Dr,ARCHIVED,,20171003
111,02EFB6CDABCF363D66DA0FC33416F45873AC7D57,10/09/2017 12:20:00 PM +0000,COLLISION,"(30.4438527,-97.7425268)",30.4438527,-97.7425268,6101-6315 W Parmer Ln,ARCHIVED,,20171009
